Kelas,Hari,Jam Kuliah,Waktu,Kode MK,Mata Kuliah,Pengampu,Ruang,Kode dosen
IL 1B,Senin,8,13.15 - 14.00,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 1B,Selasa,1,07.00 - 07.45,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1B,Selasa,2,07.45 - 08.30,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1B,Selasa,3,08.30 - 09.15,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Selasa,4,09.35 - 10.20,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1B,Selasa,5,10.20 - 11.05,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1B,Selasa,6,11.05 - 11.50,433-241-109,Prak Rancangan Listrik I,"Yusnan Badruzzaman, S.T., M.Eng.",LabTim,YB
IL 1B,Selasa,10,14.45 - 15.30,433-241-105,Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",MulMed,AR
IL 1B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Selasa,11,16.00 - 16.45,433-241-105,Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",MulMed,AR
IL 1B,Selasa,12,16.45 - 17.30,433-241-105,Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",MulMed,AR
IL 1B,Rabu,3,08.30 - 09.15,433-241-108,Pendidikan Agama,"Khamami, S.Ag., MM",GKT.711,KM
IL 1B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Rabu,4,09.35 - 10.20,433-241-108,Pendidikan Agama,"Khamami, S.Ag., MM",GKT.711,KM
IL 1B,Rabu,9,14.00 - 14.45,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
IL 1B,Rabu,10,14.45 - 15.30,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
IL 1B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Rabu,11,16.00 - 16.45,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
IL 1B,Rabu,12,16.45 - 17.30,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
IL 1B,Rabu,13,17.30 - 18.15,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
